height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
11.82,MadeGround,,,,,,,,,
3.32,UKG_sandclay,,,,,,,,,
0.12,no,,,,,,,,,
-0.18,UKG_sand,,,,,,,,,
-3.18,UKG_sandclay,,,,,,,,,
-6.18,UKG_clay,,,,,,,,,
-12.18,UKG_claysilt,,,,,,,,,
-18.18,UKG_claygravel,,,,,,,,,
-21.98,no,,,,,,,,,
-23.18,607*,,,,,,,,,
-26.18,UKG_interbed,,,,,,,,,
-26.38,658,,,,,,,,,
-26.68,UKG_interbed,,,,,,,,,
-27.18,UKG_mudstone,,,,,,,,,
-28.18,UKG_interbed,,,,,,,,,
-29.28,UKG_mudstone,,,,,,,,,
-40.68,658,,,,,,,,,
-41.88,UKG_mudstone,,,,,,,,,
-45.18,UKG_interbed,,,,,,,,,
-47.08,658,,,,,,,,,
-47.28,607*,0.9,,,,,,,,
