height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
10.88,MadeGround,,,,,,,,,
2.38,no,,,,,,,,,
-5.12,UKG_sand,,,,,,,,,
-6.12,UKG_sandclay,,,,,,,,,
-7.62,UKG_clay,,,,,,,,,
-11.12,UKG_sandgravel,,,,,,,,,
-14.12,UKG_claysilt,,,,,,,,,
-15.12,607*,,,,,,,,,
-18.82,658,,,,,,,,,
-19.12,UKG_mudstone,,,,,,,,,
-20.12,607*,,,,,,,,,
-24.62,658,,,,,,,,,
-24.92,607*,,,,,,,,,
-32.12,658,,,,,,,,,
-32.42,607*,,,,,,,,,
-34.12,658,,,,,,,,,
-34.42,607*,,,,,,,,,
-36.12,658,,,,,,,,,
-36.42,UKG_mudstone,,,,,,,,,
-36.72,PackedWaste,,,,,,,,,
-37.98,UKG_mudstone,3.14,,,,,,,,
