height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
0,607,,vf,vf,,0.02;0.5,,,,gradational
-0.72,611,,f,f,,0.02;0.3,,,clasts,gradational
-0.8,607,,m,m,,0.07;0.4,,,planar laminations,gradational
-1.1,611,,f,f,,0.02;0.5,,,current ripple,gradational
-1.36,607,,c,c,,0.06;0.6,,,clast imbrication,
-1.62,611,,m,m,,,,,rhizolith,
-1.81,no,,,,,,,,,
-3.8,607,,,,,0.05;0.4,,,,gradational
-4,602,,cb,cb,,0.05;0.5,,,rhizolith,gradational
-4.2,606,0.7,cb,cb,,,,,,
