height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
0,fine gravel,0.5,vc,vc,,0.01;0.5,,,rhizolith,gradational
-0.5,617,,vf,vf,,0.02;0.5,,,climbing ripples; cross bedding,
-3.2,609,,m,f,concave,,,,,
-3.42,602,,p,p,convex,,,,clast imbrication; concretions,
-3.7,609,,f,m,concave,,,,,
-3.9,609,,m,f,concave,,,,cross bedding; bioturbation high,
-4,617,,vf,vf,,0.02;0.4,,,,
-4.15,609,,f,m,,0.05;0.5,,,climbing ripples; ,
-4.5,602,,p,p,,,,,,
-4.6,602,,cb,p,,,,,planar laminations,gradational
-6,602,1.2,b,cb,concave,,,,clast imbrication,
