height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
7850,dolostone*,,3,3
7690,sandstoneA,,5.6,5.6
7315,dolostone*,,4.7,4.7
6840,dolostone*,,6,6
6700,sandstoneB,,6,6
6625,dolostone*,,6,6
6565,dolostone*,,5.9,5.9
6135,dolostone*,,4,4
5690,dolostone*,,4.7,4.7
5145,dolostone*,,4,4,,40
5000,sandstoneB,,5,5,,40
4115,sandstoneB,,5.2,5.2
3385,tanline,,4.3,4.3,,40
3100,sandstoneB,,5,5
1500,green,,4.5,4.5
875,lightgreen,,5.1,5.1
690,pink,,4.3,4.3
190,teal,,3.55,3.55
0,grey,150,4.8,4.8
