height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
12.41,MadeGround,,,,,,,,,
3.91,UKG_sandgravel,,,,,,,,,
-1.59,UKG_clay,,,,,,,,,
-5.19,UKG_claygravel,,,,,,,,,
-6.59,UKG_clay,,,,,,,,,
-12.59,UKG_claygravel,,,,,,,,,
-13.59,UKG_sandgravel,,,,,,,,,
-25.39,UKG_mudstone,,,,,,,,,
-26.59,658,,,,,,,,,
-26.79,UKG_mudstone,,,,,,,,,
-29.09,607*,,,,,,,,,
-31.59,658,,,,,,,,,
-31.89,607*,,,,,,,,,
-33.59,UKG_mudstone,,,,,,,,,
-35.59,607*,,,,,,,,,
-36.59,658,,,,,,,,,
-36.84,607*,,,,,,,,,
-37.05,658,,,,,,,,,
-38.19,UKG_mudstone,3.03,,,,,,,,
